date,headline_estimate,core_estimate,official_headline,coverage_pct
2026-06-11,2.93,2.82,,93.5
2026-06-12,2.93,2.82,4.17,93.5
2026-06-13,2.93,2.82,4.17,93.5
2026-06-14,2.93,2.82,4.17,93.5
2026-06-15,2.93,2.82,4.17,93.5
2026-06-16,2.93,2.82,4.17,93.5
2026-06-17,2.93,2.82,4.17,93.5
2026-06-18,2.93,2.82,4.17,93.5
2026-06-19,2.93,2.82,4.17,93.5
2026-06-20,2.93,2.82,4.17,93.5
2026-06-21,2.93,2.82,4.17,93.5
2026-06-22,2.93,2.82,4.17,93.5
2026-06-23,2.93,2.82,4.17,93.5
2026-06-24,2.93,2.82,4.17,93.5
2026-06-25,2.93,2.82,4.17,93.5
2026-06-26,2.93,2.82,4.17,93.5
2026-06-27,2.93,2.82,4.17,93.5
2026-06-28,2.93,2.82,4.17,93.5
2026-06-29,2.93,2.82,4.17,93.5
2026-06-30,2.94,2.82,4.17,93.5
2026-07-01,2.94,2.82,4.17,93.5
2026-07-02,2.94,2.82,4.17,93.5
2026-07-03,2.94,2.82,4.17,93.5
2026-07-04,2.94,2.82,4.17,93.5
